Alm_type,Inci_no   ,Unit  ,Resp_code,Station,District,Inci_type,Inci_desc                                         ,Alm_date  ,Disp_time,Notif_time,Roll_time,Arv_time,Clr_time_b,Shift,Mutl_aid,Alarms     ,Prop_loss            ,Cont_loss            ,Prop_val             ,Cont_val             ,Prop_use,Number  ,St_prefix,Street                   ,St_suffix,St_type,Zip       
26,20-2003226,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/4/2020,11:53:57,11:55:41,11:56:18,11:58:28,12:16:18,B    ,N       ,1,0,0,0,0,429A    ,705,E        ,MAIN                     ,         ,ST     ,27701
23,20-2003232,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/4/2020,12:38:40,12:40:59,12:41:48,12:44:37,12:58:12,B    ,N       ,1,0,0,0,0,511,911,         ,FAYETTEVILLE             ,         ,ST     ,27707
69,20-2003252,1SQ   ,3,5,5,111,Building fire                                     ,2/4/2020,16:57:35,16:58:27,16:58:48,17:03:24,17:50:54,B    ,N       ,1,70000,20000,70000,20000,419,2839,         ,STUART                   ,         ,DR     ,27707
9,20-2003263,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/4/2020,18:02:22,18:03:21,18:03:48,18:04:59,18:19:41,B    ,N       ,1,0,0,0,0,429A    ,519,E        ,MAIN                     ,         ,ST     ,27701
6,20-2003273,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/4/2020,19:55:21,19:57:25,19:58:08,20:00:38,20:10:53,B    ,N       ,1,0,0,0,0,429A    ,823,N        ,MANGUM                   ,         ,ST     ,27701
31,20-2003279,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/4/2020,20:44:13,20:47:25,20:47:41,20:52:13,21:01:57,B    ,N       ,1,0,0,0,0,419,322,E        ,UMSTEAD                  ,         ,ST     ,27707
26,20-2003297,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/5/2020,0:11:45,0:14:17,0:15:45,0:18:35,0:23:01,B    ,N       ,1,0,0,0,0,419,801,         ,MALLARD                  ,         ,AVE    ,27701
10,20-2003300,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/5/2020,1:35:53,1:37:12,1:38:31,1:41:09,1:48:24,B    ,N       ,1,0,0,0,0,429A    ,530,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2003308,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/5/2020,6:40:04,6:41:48,6:42:47,6:44:02,7:04:56,B    ,N       ,1,0,0,0,0,429A    ,504,         ,HOLLOWAY                 ,         ,ST     ,27701
60,20-2003365,1SQ   ,3,1,1,622,No Incident found on arrival at dispatch address  ,2/5/2020,15:38:05,15:39:46,15:41:02,15:43:05,16:14:37,C    ,N       ,1,0,0,0,0,599,300,         ,FULLER                   ,         ,ST     ,27701
10,20-2003383,1SQ   ,3,4,4,321,"EMS call, excluding vehicle accident with injury  ",2/5/2020,19:22:10,19:24:17,19:25:37,19:31:53,19:42:40,C    ,N       ,1,0,0,0,0,419,523,         ,ELMIRA                   ,         ,AVE    ,27707
19,20-2003410,1SQ   ,3,5,5,311,"Medical assist, assist EMS crew                   ",2/6/2020,6:27:35,6:30:22,6:31:36,6:40:22,6:40:29,C    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
26,20-2003415,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",2/6/2020,8:10:45,8:12:46,8:13:38,8:17:05,8:24:01,A    ,N       ,1,0,0,0,0,429,1017,         ,LOWRY                    ,         ,AVE    ,27701
26,20-2003419,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/6/2020,8:54:50,8:56:33,8:57:26,8:59:39,9:13:04,A    ,N       ,1,0,0,0,0,419,512,         ,OTTAWA                   ,         ,AVE    ,27701
31,20-2003448,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/6/2020,14:06:24,14:09:20,14:10:22,14:12:21,14:26:47,A    ,N       ,1,0,0,0,0,429A    ,600,         ,WILLARD                  ,         ,ST     ,27701
69,20-2003461,1SQ   ,3,1,1,440,"Electrical  wiring/equipment problem, Other       ",2/6/2020,17:14:01,17:15:54,17:16:09,17:18:27,17:20:34,A    ,N       ,1,0,0,0,0,419,712,         ,DOWD                     ,         ,ST     ,27701
26,20-2003464,1SQ   ,C        ,3,3,611,Dispatched & cancelled en route                   ,2/6/2020,17:53:24,17:56:27,17:57:27,        ,18:00:50,A    ,N       ,1,0,0,0,0,460,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2003468,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/6/2020,18:52:36,18:53:57,18:54:57,18:56:14,19:04:37,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
10,20-2003472,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/6/2020,20:02:58,20:05:28,20:06:33,20:07:38,20:12:26,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
87,20-2003475,1SQ   ,3,3,3,352,Extrication of victim(s) from vehicle             ,2/6/2020,20:31:38,20:38:18,20:39:00,20:44:16,21:23:48,A    ,N       ,1,0,0,0,0,961,        ,         ,US 70 BYP                ,E        ,HWY    ,27703
6,20-2003498,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,5:22:57,5:24:51,5:27:07,5:29:44,5:33:06,A    ,N       ,1,0,0,0,0,429A    ,811,S        ,ROXBORO                  ,         ,ST     ,27707
6,20-2003500,1SQ   ,3,9,9,321,"EMS call, excluding vehicle accident with injury  ",2/7/2020,6:37:20,6:39:11,6:40:15,6:44:23,7:07:53,A    ,N       ,1,0,0,0,0,419,102,         ,ST PAUL                  ,         ,ST     ,27704
87,20-2003515,1SQ   ,3,1,1,463,"Vehicle accident, general cleanup                 ",2/7/2020,7:31:09,7:34:36,7:35:13,7:37:00,7:47:36,C    ,N       ,1,0,0,0,0,962,        ,N        ,ROXBORO                  ,         ,ST     ,27701
28,20-2003526,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,8:19:27,8:21:57,8:22:44,8:24:58,8:43:25,C    ,N       ,1,0,0,0,0,419,930,E        ,MAIN                     ,         ,ST     ,27701
12,20-2003535,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,9:17:31,9:19:27,9:20:41,9:22:33,9:27:44,C    ,N       ,1,0,0,0,0,429A    ,804,         ,ANGIER                   ,         ,AVE    ,27701
6,20-2003540,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,9:49:47,9:52:29,9:53:11,9:54:26,9:58:28,C    ,N       ,1,0,0,0,0,131,305,E        ,MAIN                     ,         ,ST     ,27701
GS      ,20-2003542,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/7/2020,9:55:05,9:59:14,9:59:14,10:01:08,10:07:10,C    ,N       ,1,0,0,0,0,429A    ,143,         ,COMMERCE                 ,         ,ST     ,27701
10,20-2003553,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",2/7/2020,11:15:27,11:17:51,11:19:05,11:21:29,11:56:12,C    ,N       ,1,0,0,0,0,419,910,         ,CHESTER                  ,         ,ST     ,27701
26,20-2003564,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,13:23:25,13:25:59,13:26:25,13:29:05,13:34:44,C    ,N       ,1,0,0,0,0,419,803,N        ,ELM                      ,         ,ST     ,27701
1,20-2003587,1SQ   ,3,3,3,321,"EMS call, excluding vehicle accident with injury  ",2/7/2020,17:53:58,17:56:12,17:57:30,18:00:13,18:09:13,C    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
69,20-2003590,1SQ   ,C        ,8,8,118,"Trash or rubbish fire, contained                  ",2/7/2020,18:35:13,18:37:10,18:37:29,        ,18:43:51,C    ,N       ,1,5,5,0,0,419,2076,         ,TANNERS MILL             ,         ,DR     ,27703
69,20-2003591,1SQ   ,3,9,9,111,Building fire                                     ,2/7/2020,18:59:47,19:01:23,19:01:52,19:07:20,19:09:21,C    ,N       ,1,5000,2000,5000,2000,419,2121,         ,LIME                     ,         ,ST     ,27704
12,20-2003595,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/7/2020,20:01:07,20:02:14,20:03:16,20:04:23,20:20:28,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2003597,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",2/7/2020,20:54:21,20:58:25,21:00:00,21:02:13,21:05:33,C    ,N       ,1,0,0,0,0,429,905,         ,EVA                      ,         ,ST     ,27701
26,20-2003605,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/7/2020,22:15:26,22:18:18,22:19:55,22:22:41,22:27:31,C    ,N       ,1,0,0,0,0,173,515,W        ,PETTIGREW                ,         ,ST     ,27701
92,20-2003608,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,0:31:36,0:31:44,0:33:51,0:38:32,0:53:05,C    ,N       ,1,0,0,0,0,419,709,         ,FARGO                    ,         ,ST     ,27707
6,20-2003609,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,1:20:47,1:22:45,1:24:31,1:25:18,1:27:59,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
26,20-2003617,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,3:02:03,3:04:46,3:06:41,3:09:51,3:14:48,C    ,N       ,1,0,0,0,0,429A    ,807,S        ,ROXBORO                  ,         ,ST     ,27707
21,20-2003636,1SQ   ,3,4,4,311,"Medical assist, assist EMS crew                   ",2/8/2020,9:30:25,9:32:53,9:34:51,9:42:06,9:55:41,A    ,N       ,1,0,0,0,0,419,1018,         ,BRANDON                  ,         ,RD     ,27713
87,20-2003652,1SQ   ,C        ,3,3,622,No Incident found on arrival at dispatch address  ,2/8/2020,12:29:54,12:31:21,12:32:10,        ,12:35:38,A    ,N       ,1,0,0,0,0,960,        ,         ,LYNN                     ,         ,RD     ,27703
60,20-2003659,1SQ   ,3,5,5,251,"Excessive heat, scorch burns with no ignition     ",2/8/2020,14:13:41,14:15:01,14:16:08,14:18:13,14:27:38,A    ,N       ,1,0,0,0,0,429A    ,605,W        ,CHAPEL HILL              ,         ,ST     ,27701
31,20-2003670,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/8/2020,16:17:29,16:19:11,16:20:26,16:23:14,16:34:49,A    ,N       ,1,0,0,0,0,419,110,E        ,LYNCH                    ,         ,ST     ,27701
26,20-2003676,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",2/8/2020,18:13:29,18:19:17,18:20:37,18:23:29,18:25:23,A    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
69,20-2003679,1SQ   ,3,3,3,441,"Heat from short circuit (wiring), defective/worn  ",2/8/2020,18:32:26,18:34:53,18:35:08,18:37:49,18:39:49,A    ,N       ,1,0,0,0,0,429A    ,1327,         ,JUNIPER                  ,         ,ST     ,27701
31,20-2003681,1SQ   ,C        ,3,3,321,"EMS call, excluding vehicle accident with injury  ",2/8/2020,18:50:10,18:52:12,         ,        ,18:53:51,A    ,N       ,1,0,0,0,0,900,1000,N        ,MIAMI                    ,         ,BLVD   ,27703
24,20-2003688,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,20:46:52,20:49:34,20:50:53,20:55:02,20:59:15,A    ,N       ,1,0,0,0,0,429A    ,815,         ,DACIAN                   ,         ,AVE    ,27701
26,20-2003691,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,2/8/2020,21:13:26,21:15:55,21:16:49,        ,21:20:01,A    ,N       ,1,0,0,0,0,        ,118,         ,CHESTNUT                 ,         ,ST     ,27707
6,20-2003697,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,22:27:52,22:29:36,22:30:32,22:31:52,22:36:37,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
31,20-2003698,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/8/2020,22:45:42,22:47:52,22:48:41,22:50:26,22:59:22,A    ,N       ,1,0,0,0,0,162,711,         ,RIGSBEE                  ,         ,AVE    ,27701
9,20-2003737,1SQ   ,3,5,5,321,"EMS call, excluding vehicle accident with injury  ",2/9/2020,11:16:22,11:20:03,11:20:03,11:20:03,12:18:44,C    ,N       ,1,0,0,0,0,419,2022,         ,JERSEY                   ,         ,AVE    ,27707
67,20-2003748,1SQ   ,C        ,1,1,112,Fires in structure other than in a building       ,2/9/2020,13:35:21,13:36:39,13:38:01,        ,13:42:21,C    ,N       ,1,1500,500,1500,500,400,1206,         ,DAWKINS                  ,         ,ST     ,27707
67,20-2003748,1SQ   ,C        ,1,1,112,Fires in structure other than in a building       ,2/9/2020,13:35:21,13:36:39,13:38:01,        ,13:42:21,C    ,N       ,1,500,0,5000,0,400,322,E        ,UMSTEAD                  ,         ,ST     ,27707
31,20-2003751,1SQ   ,3,3,3,321,"EMS call, excluding vehicle accident with injury  ",2/9/2020,13:56:09,13:57:30,13:58:41,14:01:19,14:12:41,C    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2003763,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/9/2020,16:08:21,16:09:31,16:10:48,16:12:59,16:28:00,C    ,N       ,1,0,0,0,0,419,574,         ,LIBERTY                  ,         ,ST     ,27701
31,20-2003769,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/9/2020,17:10:13,17:13:02,17:14:14,17:15:34,17:24:07,C    ,N       ,1,0,0,0,0,962,        ,         ,LIBERTY                  ,         ,ST     ,27701
12,20-2003775,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/9/2020,17:49:53,17:57:38,17:58:54,18:00:08,18:09:23,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
26,20-2003782,1SQ   ,3,1,1,622,No Incident found on arrival at dispatch address  ,2/9/2020,20:06:09,20:08:16,20:09:34,20:11:35,20:14:52,C    ,N       ,1,0,0,0,0,419,143,         ,COMMERCE                 ,         ,ST     ,27701
6,20-2003786,1SQ   ,3,3,51,311,"Medical assist, assist EMS crew                   ",2/9/2020,21:31:46,21:33:16,21:34:46,21:37:45,21:41:02,C    ,N       ,1,0,0,0,0,429,905,         ,EVA                      ,         ,ST     ,27701
10,20-2003787,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/9/2020,21:53:08,21:54:54,21:56:23,21:58:55,22:07:59,C    ,N       ,1,0,0,0,0,429A    ,804,         ,ANGIER                   ,         ,AVE    ,27701
6,20-2003794,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",2/9/2020,23:48:37,23:49:37,23:50:57,23:55:18,0:22:28,C    ,N       ,1,0,0,0,0,419,415,N        ,HYDE PARK                ,         ,AVE    ,27703
26,20-2003799,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/10/2020,2:49:19,2:51:18,2:52:59,2:57:29,3:00:46,C    ,N       ,1,0,0,0,0,429A    ,346,E        ,LAKEWOOD                 ,         ,AVE    ,27707
12,20-2003806,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/10/2020,5:41:31,5:43:09,5:46:02,5:47:12,6:00:54,C    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2003809,1SQ   ,3,5,51,321,"EMS call, excluding vehicle accident with injury  ",2/10/2020,5:55:59,6:02:42,6:02:55,6:05:55,6:25:53,C    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
5,20-2003814,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",2/10/2020,7:34:38,7:35:07,7:35:38,7:38:12,7:42:01,A    ,N       ,1,0,0,0,0,571,1002,N        ,ALSTON                   ,         ,AVE    ,27701
12,20-2003834,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/10/2020,10:47:30,10:49:34,10:50:31,10:53:12,11:01:48,A    ,N       ,1,0,0,0,0,599,826,         ,FAYETTEVILLE             ,         ,ST     ,27707
31,20-2003842,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/10/2020,13:24:08,13:25:57,13:26:36,13:30:24,13:44:12,A    ,N       ,1,0,0,0,0,429A    ,211,         ,STOKES                   ,         ,ST     ,27701
1,20-2003869,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,2/10/2020,18:15:30,18:17:45,18:18:31,        ,18:20:35,A    ,N       ,1,0,0,0,0,UUU     ,710,         ,FAYETTEVILLE             ,         ,ST     ,27707
31,20-2003871,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,2/10/2020,18:50:08,18:51:46,18:52:59,        ,18:53:20,A    ,N       ,1,0,0,0,0,UUU     ,410,         ,LIBERTY                  ,         ,ST     ,27701
6,20-2003872,1SQ   ,3,3,51,321,"EMS call, excluding vehicle accident with injury  ",2/10/2020,19:11:46,19:13:35,19:15:01,19:17:12,19:30:15,A    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2003875,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/10/2020,20:01:30,20:02:50,20:04:02,20:06:46,20:16:44,A    ,N       ,1,0,0,0,0,429A    ,910,E        ,MAIN                     ,         ,ST     ,27701
31,20-2003877,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/10/2020,20:42:18,20:44:02,20:44:29,20:45:57,20:51:16,A    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
10,20-2003886,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/10/2020,22:03:46,22:06:13,22:07:34,22:11:30,22:35:42,A    ,N       ,1,0,0,0,0,459A    ,1614,S        ,ROXBORO                  ,         ,ST     ,27707
6,20-2003893,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/10/2020,23:16:48,23:20:40,23:21:57,23:32:41,23:37:14,A    ,N       ,1,0,0,0,0,419,706,         ,COLFAX                   ,         ,ST     ,27701
21,20-2003921,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/11/2020,8:20:20,8:23:14,8:24:10,8:27:46,8:52:38,B    ,N       ,1,0,0,0,0,429A    ,700,S        ,MANGUM                   ,         ,ST     ,27701
26,20-2003964,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/11/2020,17:05:40,17:09:08,17:10:02,17:11:36,17:31:40,B    ,N       ,1,0,0,0,0,150,101,         ,CITY HALL                ,         ,PLZ    ,27701
91,20-2003968,1SQ   ,3,1,1,554,Assist invalid                                    ,2/11/2020,17:31:25,17:36:46,17:37:35,17:40:36,17:44:49,B    ,N       ,1,0,0,0,0,419,219,         ,MONMOUTH                 ,         ,AVE    ,27701
6,20-2003985,1SQ   ,3,5,51,311,"Medical assist, assist EMS crew                   ",2/11/2020,20:00:33,20:02:01,20:02:47,20:06:27,20:16:42,B    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
6,20-2003993,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/11/2020,23:08:38,23:10:37,23:12:04,23:14:37,23:21:02,B    ,N       ,1,0,0,0,0,419,310,W        ,CORPORATION              ,         ,ST     ,27701
17,20-2003999,1SQ   ,1,1,1,311,"Medical assist, assist EMS crew                   ",2/12/2020,1:46:28,2:00:48,2:02:11,2:06:20,2:17:46,B    ,N       ,1,0,0,0,0,429A    ,200,E        ,UMSTEAD                  ,         ,ST     ,27707
17,20-2004018,1SQ   ,R        ,1,1,311,"Medical assist, assist EMS crew                   ",2/12/2020,9:22:55,9:38:54,9:40:15,9:52:08,9:54:15,A    ,N       ,1,0,0,0,0,429A    ,200,E        ,UMSTEAD                  ,         ,ST     ,27707
10,20-2004029,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/12/2020,11:42:22,11:46:32,11:47:02,11:49:09,12:53:13,A    ,N       ,1,0,0,0,0,300,414,E        ,MAIN                     ,         ,ST     ,27701
10,20-2004043,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,2/12/2020,13:15:41,13:18:08,13:18:42,        ,13:23:01,A    ,N       ,1,0,0,0,0,UUU     ,810,         ,OLD FAYETTEVILLE         ,         ,ST     ,27701
23,20-2004054,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/12/2020,15:14:40,15:17:53,15:19:01,15:19:52,15:57:15,A    ,N       ,1,0,0,0,0,160,102,W        ,MORGAN                   ,         ,ST     ,27701
GS      ,20-2004060,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/12/2020,16:32:54,16:33:01,16:33:43,16:36:31,16:40:32,A    ,N       ,1,0,0,0,0,965,1103,S        ,ROXBORO                  ,         ,ST     ,27707
GS      ,20-2004061,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/12/2020,16:39:55,16:40:55,16:40:55,16:42:47,17:04:36,A    ,N       ,1,0,0,0,0,419,108,E        ,UMSTEAD                  ,         ,ST     ,27707
60,20-2004069,1SQ   ,3,3,3,412,Gas leak (natural gas or LPG)                     ,2/12/2020,18:21:06,18:22:24,18:23:29,18:27:51,18:34:00,A    ,N       ,1,0,0,0,0,429A    ,508,         ,HARDEE                   ,         ,ST     ,27703
60,20-2004072,1SQ   ,3,19,19,671,HazMat release investigation w/no HazMat          ,2/12/2020,18:38:17,18:39:25,18:39:47,18:51:09,18:52:32,A    ,N       ,1,0,0,0,0,419,206,         ,EAGLESON                 ,         ,ST     ,27703
10,20-2004088,1SQ   ,3,5,5,311,"Medical assist, assist EMS crew                   ",2/12/2020,22:21:08,22:23:35,22:25:09,22:31:45,22:35:46,A    ,N       ,1,0,0,0,0,429A    ,807,S        ,DUKE                     ,         ,ST     ,27701
26,20-2004091,1SQ   ,C        ,3,3,611,Dispatched & cancelled en route                   ,2/13/2020,0:24:17,0:25:56,0:28:14,        ,0:34:01,A    ,N       ,1,0,0,0,0,419,1508,N        ,HYDE PARK                ,         ,AVE    ,27701
6,20-2004103,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/13/2020,6:33:15,6:35:12,6:36:41,6:40:05,6:43:14,A    ,N       ,1,0,0,0,0,419,1408,         ,MANTEO                   ,         ,ST     ,27701
12,20-2004106,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/13/2020,7:25:16,7:27:51,7:28:47,7:30:52,7:38:37,B    ,N       ,1,0,0,0,0,965,310,S        ,DILLARD                  ,         ,ST     ,27701
6,20-2004110,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/13/2020,8:05:26,8:07:41,8:08:13,8:09:46,8:20:25,B    ,N       ,1,0,0,0,0,429A    ,504,         ,LIBERTY                  ,         ,ST     ,27701
18,20-2004158,1SQ   ,3,3,51,321,"EMS call, excluding vehicle accident with injury  ",2/13/2020,15:38:05,15:39:10,15:40:04,15:42:56,15:48:11,B    ,N       ,1,0,0,0,0,439A    ,1201,E        ,MAIN                     ,         ,ST     ,27701
6,20-2004182,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/13/2020,20:00:48,20:02:07,20:03:05,20:04:13,20:12:43,B    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
10,20-2004184,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/13/2020,20:12:39,20:12:57,20:12:57,20:12:57,20:25:45,B    ,N       ,1,0,0,0,0,439A    ,412,         ,LIBERTY                  ,         ,ST     ,27701
26,20-2004190,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/13/2020,22:16:57,22:21:06,22:22:16,22:25:06,22:33:04,B    ,N       ,1,0,0,0,0,419,902,         ,DALE                     ,         ,ST     ,27701
12,20-2004196,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/13/2020,23:08:15,23:11:09,23:12:08,23:15:15,23:28:03,B    ,N       ,1,0,0,0,0,419,1505,N        ,ALSTON                   ,         ,AVE    ,27701
26,20-2004203,1SQ   ,3,1,1,321,"EMS call, excluding vehicle accident with injury  ",2/13/2020,23:53:41,23:55:42,23:56:43,0:01:38,0:12:53,B    ,N       ,1,0,0,0,0,429A    ,343,         ,CHESTNUT                 ,         ,ST     ,27707
6,20-2004204,1SQ   ,3,5,51,311,"Medical assist, assist EMS crew                   ",2/14/2020,0:24:32,0:26:17,0:27:24,0:32:18,0:44:13,B    ,N       ,1,0,0,0,0,429A    ,2128,S        ,ROXBORO                  ,         ,ST     ,27707
6,20-2004207,1SQ   ,3,5,51,311,"Medical assist, assist EMS crew                   ",2/14/2020,2:10:41,2:12:49,2:15:08,2:18:53,2:24:12,B    ,N       ,1,0,0,0,0,429A    ,500,         ,COBB                     ,         ,ST     ,27707
6,20-2004215,1SQ   ,3,1,1,311,"Medical assist, assist EMS crew                   ",2/14/2020,3:46:07,3:46:57,3:48:07,3:49:51,3:52:52,B    ,N       ,1,0,0,0,0,439A    ,410,         ,LIBERTY                  ,         ,ST     ,27701
18,20-2004216,1SQ   ,3,5,51,321,"EMS call, excluding vehicle accident with injury  ",2/14/2020,5:56:18,5:58:04,5:59:17,6:02:34,6:12:35,B    ,N       ,1,0,0,0,0,429A    ,500,         ,COBB                     ,         ,ST     ,27707
26,20-2004220,1SQ   ,3,3,3,311,"Medical assist, assist EMS crew                   ",2/14/2020,7:01:12,7:03:38,7:04:10,7:08:02,7:11:22,A    ,N       ,1,0,0,0,0,460,1201,E        ,MAIN                     ,         ,ST     ,27701
26,20-2004230,1SQ   ,3,9,9,321,"EMS call, excluding vehicle accident with injury  ",2/14/2020,8:19:45,8:25:31,8:27:03,8:37:12,8:47:08,A    ,N       ,1,0,0,0,0,419,404,         ,ANITA                    ,         ,ST     ,27701
69,20-2004257,1SQ   ,C        ,11,11,440,"Electrical  wiring/equipment problem, Other       ",2/14/2020,12:22:15,12:23:19,12:23:45,        ,12:32:09,A    ,N       ,1,0,0,0,0,419,3911,         ,HILLGRAND                ,         ,DR     ,27705
2,20-2004272,1SQ   ,3,4,4,311,"Medical assist, assist EMS crew                   ",2/14/2020,14:31:56,14:38:16,14:38:23,14:43:37,14:48:28,A    ,N       ,1,0,0,0,0,419,2301,         ,OTIS                     ,         ,ST     ,27707
97,20-2004282,1SQ   ,C        ,1,1,611,Dispatched & cancelled en route                   ,2/14/2020,17:38:23,17:47:34,17:47:49,        ,17:48:35,A    ,N       ,1,0,0,0,0,429A    ,930,E        ,MAIN                     ,         ,ST     ,27701
18,20-2004289,1SQ   ,3,3,3,321,"EMS call, excluding vehicle accident with injury  ",2/14/2020,18:53:03,18:55:53,18:57:33,19:01:11,19:25:56,A    ,N       ,1,0,0,0,0,460,1201,E        ,MAIN                     ,         ,ST     ,27701
26,20-2004307,1SQ   ,1,3,3,311,"Medical assist, assist EMS crew                   ",2/14/2020,22:48:49,22:50:39,22:52:10,22:57:25,22:59:41,A    ,N       ,1,0,0,0,0,419,910,         ,CHESTER                  ,         ,ST     ,27701
